time,user_id,product_id,belong_cate_lvl1_id,belong_cate_lvl2_id,belong_cate_lvl3_id,belong_cate_lvl1_name,belong_cate_lvl2_name,belong_cate_lvl3_name,href
2016-05-03 15:24:19,58202CB39EE97ABD303AF2C6C8719EC0,1348368,1686,1788,1789,Giày dép,Giày thể thao chuyên dụng,Giày thể thao nam,https://www.sendo.vn/san-pham/gn016-giay-the-thao-nang-dong-1348368/
2016-05-03 15:24:19,26E99A52F18060CD4141D4EAE8A1EAAA,2490499,1722,1723,1732,Túi xách,Túi xách nữ,Túi đeo chéo nữ,https://www.sendo.vn/san-pham/tui-deo-vai-deo-cheo-nu-2490499/
2016-05-03 15:24:20,D5524A202B957B7E5646D06F9BB689F5,2712926,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-gen-bung-dinh-hinh-cao-cap-chong-cuon-2712926/?trackid=2712926&utm_source=google&utm_medium=cpc&utm_content=2712926&utm_campaign=dpa_sendo_thoitrangnu_dolotvangu_quanlot&gclid=CKa-48a9vcwCFVcRvQod5-AOag
2016-05-03 15:24:20,E6254B6AC0277701771DE3ABE95F58EA,2845665,8,9,10,Thời trang nữ,Áo nữ,Áo sơ mi công sở,https://www.sendo.vn/san-pham/ao-voan-hoa-dep-thoi-trang-cong-so-it20-2845665/?trackid=2845665&utm_source=google&utm_medium=cpc&utm_content=2845665&utm_campaign=dpa_sendo_thoitrangnu_aonu_aosomicongso&gclid=CMbn5ca9vcwCFQGbvAodiNYPzA
2016-05-03 15:24:21,D6EC660F2DEC025F20DDF5BC2E86921A,2819143,1458,1492,1494,Đồ chơi,Đồ chơi điều khiển từ xa,"Máy bay, trực thăng",https://www.sendo.vn/san-pham/may-bay-dieu-khien-tu-xa-mj-901-chinh-hang-2819143/
2016-05-03 15:24:21,4EE9FA1A30D4E05CB43B4606F7D50243,2824435,528,530,546,Phụ kiện công nghệ,"Phụ kiện Máy tính, Laptop",Chuột,https://www.sendo.vn/san-pham/chuot-mitsumi-6703-2824435/
2016-05-03 15:24:22,B951A67B0C63C2C813B4982E5B966C27,2721390,1629,1820,1821,Phụ kiện thời trang,Kính,"Kính râm, kính mát",https://www.sendo.vn/san-pham/kinh-mat-nam-nu-kenzo-mau-moi-b28-2721390/?trackid=2721390&utm_source=google&utm_medium=cpc&utm_content=2721390&utm_campaign=dpa_sendo_phukienthoitrang_kinh_kinhramkinhma&gclid=CPa4_8a9vcwCFdiFaAod21QPlw
2016-05-03 15:24:22,50290D943B35C3259FC3B2150223F53D,3016214,1171,1183,1189,Thực phẩm,Kẹo,Khác,https://www.sendo.vn/san-pham/keo-thoi-bean-boozled-loai-hop-45-vien-3016214/
2016-05-03 15:24:24,099E44EE0EDF9C27C5E04CE1AA3986D0,2829143,1366,1367,1368,Đồng hồ,Đồng hồ nam,Đồng hồ thể thao,https://www.sendo.vn/san-pham/dong-ho-the-thao-naviforce-may-nhat-phong-cach-us-army-ma-so-dh1638-2829143/
2016-05-03 15:24:27,6A012EAB134DD944371645ABB5B3DE5B,2489269,94,95,310,Thời trang nam,"Áo thun, áo polo nam",Áo thun ngắn tay không cổ,https://www.sendo.vn/san-pham/ao-thun-nam-tay-ngan-2489269/
2016-05-03 15:24:27,DB3FA35F63391C4A1C551B37AFA3335E,2905182,8,52,60,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà","Đồ bộ mặc nhà, đồ ngủ bộ",https://www.sendo.vn/san-pham/do-bo-lung-co-tru-db148085-do-2905182/
2016-05-03 15:24:27,268F2E3D4909837C016711663DCBA975,2903400,8,9,11,Thời trang nữ,Áo nữ,Áo kiểu,https://www.sendo.vn/san-pham/ao-kieu-tay-phoi-ren-anh-kim-vang-sc00980-2903400/?trackid=2903400&utm_source=google&utm_medium=cpc&utm_content=2903400&utm_campaign=dpa_sendo_thoitrangnu_aonu_aokieu&gclid=CO2Yr8m9vcwCFQqAvQod7xwACg
2016-05-03 15:24:28,7970B0ED6905783592CF9BD056E26780,2988059,528,529,1306,Phụ kiện công nghệ,"Phụ kiện Điện thoại, Tablet",Gậy selfie,https://www.sendo.vn/san-pham/gay-tu-suong-z07-1-kem-remote-chup-anh-roi-2988059/
2016-05-03 15:24:28,20F64DB71EAC83D690BF001A454D8AD9,2962041,1019,1095,1103,Đồ dùng trong nhà,Thiết bị và dụng cụ sửa chữa,Thiết bị dụng cụ sửa chữa khác,https://www.sendo.vn/san-pham/may-may-cam-tay-handy-stitch-2962041/
2016-05-03 15:24:32,2836742A96C1893224DDC7FD356E4E9C,2941983,1019,1088,1091,Đồ dùng trong nhà,Đồ dùng sinh hoạt,"Tủ vải, hộp, thùng đựng đồ",https://www.sendo.vn/san-pham/tu-vai-cao-cap-han-quoc-co-trung-2941983/
2016-05-03 15:24:33,7D457F29642DC463B0055BD3DB67C01C,3053358,8,9,10,Thời trang nữ,Áo nữ,Áo sơ mi công sở,https://www.sendo.vn/san-pham/hang-loai-1-ao-so-mi-tay-dai-ms682-3053358/
2016-05-03 15:24:33,0795C29EE46E160531CE79A010DF994C,2997598,8,9,12,Thời trang nữ,Áo nữ,Áo thun có tay,https://www.sendo.vn/san-pham/ao-tho-cam-hoa-tiet-4-em-be-2997598/
2016-05-03 15:24:33,5C3C8BBFEAD3EE69DD307D5A888DB2C7,2307946,8,695,696,Thời trang nữ,"Set trang phục, jumpsuit",Áo và chân váy,https://www.sendo.vn/san-pham/set-ao-croptop-no-nguc-chan-vay-thoi-trang-2307946/
2016-05-03 15:24:37,F2646782C42BEED9779296C2376F3AEE,2692319,1019,1088,1091,Đồ dùng trong nhà,Đồ dùng sinh hoạt,"Tủ vải, hộp, thùng đựng đồ",https://www.sendo.vn/san-pham/tu-nhua-duy-tan-5-tang-6-ngan-mina-2692319/
2016-05-03 15:24:38,DB3FA35F63391C4A1C551B37AFA3335E,3091773,8,52,60,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà","Đồ bộ mặc nhà, đồ ngủ bộ",https://www.sendo.vn/san-pham/hang-loai-1-do-bo-nu-lung-tay-ngan-3091773/
2016-05-03 15:24:38,53542BF063A237977EED70603EDFFE18,795962,8,26,700,Thời trang nữ,"Đầm, váy",Đầm suông,https://www.sendo.vn/san-pham/dam-thun-suong-795962/
2016-05-03 15:24:39,19E2CE4B4531F3E1191C62B73BDCD727,2686098,94,1676,1677,Thời trang nam,Quần shorts nam,Quần shorts kaki,https://www.sendo.vn/san-pham/quan-short-nam-cao-cap-sexy-qs181xb-2686098/?trackid=2686098&utm_source=google&utm_medium=cpc&utm_content=2686098&utm_campaign=dpa_sendo_thoitrangnam_quanshortsnam_quanshortskak&gclid=CMHkm8-9vcwCFdWKaAodJ34ErA
2016-05-03 15:24:40,1BD7FAAE48098C5996C618D6D7B3A773,1950383,138,1251,1271,Mẹ và bé,Thời trang bé trai,Áo khoác,https://www.sendo.vn/san-pham/phong-cach-hq-size-nho-1950383/
2016-05-03 15:24:40,81082573D56F8B6E79CD96163C994B97,3087663,94,1673,1674,Thời trang nam,"Quần kaki, quần tây nam",Quần kaki,https://www.sendo.vn/san-pham/quan-kaki-thun-han-quoc-qg05-3087663/
2016-05-03 15:24:41,604983A851CAF01F8DA94DFC53F7C3BF,3003524,1722,1723,1731,Túi xách,Túi xách nữ,Túi xách tay nữ,https://www.sendo.vn/san-pham/tui-xach-quang-chau-kem-gau-bong-xin-xan-msptx167-3003524/
2016-05-03 15:24:42,EC8D09091F69A929460A4152E69AC36F,2178617,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-khe-nu-xinh-xan-dl95-6-mau-2178617/
2016-05-03 15:24:42,D06082D7F201881605FFA29DD7E09AC2,2635304,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/combo-10-quan-lot-bigsize-cho-nu-2635304/
2016-05-03 15:24:42,F4F95F5237C2F687F1CFAA91F2FB821F,2179513,8,9,11,Thời trang nữ,Áo nữ,Áo kiểu,https://www.sendo.vn/san-pham/ao-khong-tay-tua-rua-2179513/
2016-05-03 15:24:43,8F08D55C40626653DF64483680148C14,3040958,94,1666,1667,Thời trang nam,Áo sơ mi nam,Sơ mi tay dài,https://www.sendo.vn/san-pham/ao-so-mi-nam-3040958/
2016-05-03 15:24:45,72B56DD6A3F633E38BB6B64689ECCA2D,2171593,138,147,153,Mẹ và bé,Đồ dùng cho mẹ sau khi sinh,"Túi, bình trữ sữa",https://www.sendo.vn/san-pham/10-hop-tui-tru-sua-sunmum-thai-lan-2171593/
2016-05-03 15:24:46,AA6A5A541FB5E9493D08D15D5901D562,2195319,8,695,697,Thời trang nữ,"Set trang phục, jumpsuit",Áo và quần dài,https://www.sendo.vn/san-pham/set-nguyen-bo-quan-ao-tay-loe-co-ep-hat-yktj462-2195319/?trackid=2195319&utm_source=google&utm_medium=cpc&utm_content=2195319&utm_campaign=dpa_sendo_thoitrangnu_settrangphuc_aovaquan&gclid=CI2IltK9vcwCFQ8AvAodjtoO-g
2016-05-03 15:24:46,3B8E216A33128DE8DF171DD5C9F01A11,2622189,1629,1831,1832,Phụ kiện thời trang,Thắt lưng,Thắt lưng bản to,https://www.sendo.vn/san-pham/that-lung-da-cao-cap-tl-008-2622189/?trackid=2622189&utm_source=google&utm_medium=cpc&utm_content=2622189&utm_campaign=dpa_sendo_phukienthoitrang_thatlung_thatlungbant&gclid=CLCI9NK9vcwCFYSVvAodY_kO5g
2016-05-03 15:24:46,EB5FDC70361977342BB2BBF76951E4C0,2866560,1663,1664,1665,Công nghệ,Thiết bị di động,Điện thoại di động,https://www.sendo.vn/san-pham/dien-thoai-fpt-s585-xanh-da-selfie-cuc-dinh-2866560/
2016-05-03 15:24:48,0A9A3C8A9CB0AE4CE6E8D94FEC4DAA9B,3082935,8,26,699,Thời trang nữ,"Đầm, váy",Đầm xòe,https://www.sendo.vn/san-pham/hang-nhap-cao-cap-dam-xoe-hoa-tiet-hr740-3082935/
2016-05-03 15:24:49,4E45993EB8BAA8BA59FEA8048A9A47B3,2862175,1019,1088,1109,Đồ dùng trong nhà,Đồ dùng sinh hoạt,Móc treo,https://www.sendo.vn/san-pham/moc-treo-tuong-kem-ke-de-do-sweet-home-nx302-2862175/
2016-05-03 15:24:49,D784BB912A633DA1554D4967389689EF,3045082,8,62,63,Thời trang nữ,"Đồ bơi, đồ đi biển",Bikini,https://www.sendo.vn/san-pham/bikini-quyen-ru-3045082/
2016-05-03 15:24:50,EC8D09091F69A929460A4152E69AC36F,2929555,8,52,54,Thời trang nữ,"Đồ lót, đồ ngủ và đồ mặc nhà",Quần lót,https://www.sendo.vn/san-pham/quan-lot-nam-thiet-ke-dac-biet-phia-truoc-co-the-mo-ra-duoc-qb228xam-2979018/
2016-05-03 15:24:50,00DB04D378674559EA3BE770864636C4,1973411,8,34,36,Thời trang nữ,Chân váy,Váy bút chì,https://www.sendo.vn/san-pham/chan-vay-but-chi-dai-2016-1973411/?trackid=1973411&utm_source=google&utm_medium=cpc&utm_content=1973411&utm_campaign=dpa_sendo_thoitrangnu_vay_vaybutchi&gclid=CNichtC9vcwCFUsGvAodGGYMew
2016-05-03 15:24:51,EC8D09091F69A929460A4152E69AC36F,2979018,94,106,108,Thời trang nam,Đồ lót và ngủ,Quần lót,https://www.sendo.vn/san-pham/quan-lot-nam-thiet-ke-dac-biet-phia-truoc-co-the-mo-ra-duoc-qb228xam-2979018/
